Sample,C,N,S,M,Normal
breast_cancer_bt474_2,-0.474867451050656,0.589369845896527,-0.78888195308305,-1.00216675667878,cancer
breast_cancer_bt474_3,-0.349947258865953,0.503927555386758,-0.77186383514481,-1.34062375508027,cancer
breast_cancer_skbr3_1,-0.766242480721973,0.502591522105812,-1.30640208788856,-1.56575179428016,cancer
breast_cancer_skbr3_2,-0.892879053433059,0.544127008487226,-0.965254879449287,-1.62824994147536,cancer
breast_cancer_mda_mb_468_2,-0.542835270514046,0.330303260655016,-0.505158890710587,-0.261318513178214,cancer
breast_cancer_mda_mb_468_3,-0.540162993479998,0.298775214443944,-0.449100865850271,-0.133062907105477,cancer
breast_cancer_hs578t_2,-0.0575609631214384,-0.215318062377853,0.735848559678654,0.838581201456814,cancer
breast_cancer_hs578t_3,-0.143234150344474,-0.178688169714441,0.882691712015776,0.771233037263541,cancer
breast_cancer_cal51_4,0.0914760183196019,0.307955603293739,-0.362966658792485,-0.78401481522181,cancer
liver_normal_human_hepatocyte_cell_pellet_1,0.353935319428043,-1.45580782213697,1.51665365448802,1.55691897870946,normal
liver_normal_human_hepatocyte_cell_pellet_2,0.677460990390268,-1.23055772091763,0.86215129321078,1.31487928566219,normal
liver_cancer_hepg2_1,-0.515501311429765,0.43184368705785,-0.446078483201075,-0.29926460138269,cancer
liver_cancer_hepg2_3,-0.459146147500195,0.407211360036238,-0.590443830516742,-0.674556220717212,cancer
liver_cancer_sk_hep1_2,-0.300703870152809,-0.0830352739321159,0.710843692751195,0.630515036021512,cancer
liver_cancer_sk_hep1_3,-0.350847935891024,-0.0555781807622093,0.587294613843972,0.499845651571024,cancer
colon_normal_human_colonic_epithelial_cell_pellet_1,0.459155260979275,-1.17445054413563,1.88476761264901,1.25626042626954,normal
colon_normal_human_colonic_epithelial_cell_pellet_2,0.777706190307689,-0.512099947102435,0.6065315670892,0.712849556413282,normal
colon_cancer_rko_1,-1.30462883070403,0.429575878113429,-1.65933237441053,-2.7258946330234,cancer
colon_cancer_rko_2,-1.14041891350926,0.414585510076503,-1.6486835211987,-2.5408261568791,cancer
colon_cancer_hct116_1,-0.663943787600933,0.386148522496092,-0.481021243095935,0.0735807452054926,cancer
colon_cancer_hct116_2,-0.447089416159632,0.474963337787012,-0.925139833546295,-1.47251084318974,cancer
brain_normal_human_astrocyte_cell_pellet_3,0.463438769797223,0.0697771738862696,-0.520697579922206,-0.202505755478065,normal
brain_cancer_t98g_1,-0.314366223250803,-0.0446495687602941,0.87776452872784,1.00907887943831,cancer
brain_cancer_t98g_2,-0.311954240339086,0.0109683527924371,0.672547753303418,0.895396625128186,cancer
brain_cancer_a172_1,-0.437816621885893,0.13951140865657,0.0284829356285625,0.319213621103303,cancer
brain_cancer_a172_2,-0.453023988429937,0.0735481236167965,0.495805340017672,0.852194360478494,cancer
pancreas_normal_human_pancreas_ephytelial_cells_1,-0.138489549904374,-0.401736210019403,1.79487139691686,1.33886436274315,normal
pancreas_normal_human_pancreas_ephytelial_cells_2,0.0482458915463614,-0.182840650616389,0.685765776404593,1.22806759388011,normal
pancreas_cancer_mia_paca_1,-0.767934945218954,0.28447123846933,-0.620059953673887,0.176678145659551,cancer
pancreas_cancer_mia_paca_2,-0.912448923790155,0.554345309975452,-1.49932882382773,-1.85722385453905,cancer
pancreas_cancer_suit_2_2,-0.766331241626177,0.306427332883369,-0.770979864368756,0.0571069922457674,cancer
pancreas_cancer_suit_2_3,-0.559564062467296,0.127958941193095,-0.106153404799316,0.748855590077992,cancer
pancreas_cancer_panc1_2,-0.719076919592327,0.40714136144685,-0.904184383118201,-0.796123142073966,cancer
pancreas_cancer_panc1_3,-0.490083193796192,0.395380324532291,-0.956637057117486,-0.811133315343461,cancer
blood_normal_human_pbmc_1,0.242820360802036,-2.33097591882714,1.2305566078239,0.739770924047611,normal
blood_normal_human_pbmc_3,0.903122418568111,-1.49814327923099,0.25176012661175,-1.04468504363473,normal
blood_cancer_jurkat_1,0.810714649859313,-0.0744920299911054,-0.350928954200314,0.361133777628641,cancer
blood_cancer_jurkat_2,0.848428833464166,0.112968979630256,-0.557183384498674,-0.131953190093393,cancer
prostate_normal_human_prostate_epithelial_cell_pellet_1,0.280928000454079,-1.42249370293215,1.97404589658577,1.3730897898366,normal
prostate_cancer_ln_cap_1,-0.521103775610806,0.233831572562307,-0.335325115595804,1.15812492286229,cancer
prostate_cancer_ln_cap_2,-0.453953630120022,0.4262051194777,-0.752498785226891,0.0294776099719938,cancer
pool_2,0.145185312712572,0.0796716858286737,0.399093410711798,0.49410827313451,cancer
pool_3,0.121465288965447,0.0747984657350549,0.447677174731282,0.48668968592359,cancer
pool_4,0.13930905817771,0.0968151887528323,0.440522701145759,0.465513508777237,cancer
pool_6,0.13856440225318,0.0851045886589041,0.426988898872142,0.496194302922705,cancer
pool_7,0.167826474549207,0.0863950201402188,0.407359582288797,0.430761095469518,cancer
cervix_normal_human_cervical_epithelial_cell_pellet_1,0.341303512376144,-2.02875575289673,1.82007785928345,1.17783363482339,normal
cervix_normal_human_cervical_epithelial_cell_pellet_2,0.86341789350957,-1.5523361518632,0.947117687603526,0.852617977461353,normal
breast_normal_human_mammary_epithelial_cell_pellet_1,0.586381077957395,-1.36259671547845,1.53234769449653,0.914393669363613,normal
prostate_normal_human_prostate_epithelial_cell_pellet_2,0.334021705030901,-0.932944754550299,1.14279741358182,1.29612628068459,normal
pool_5,0.165091623491988,0.0802486673654625,0.426108734770831,0.469654868157524,cancer
skin_cancer_sk_mel_103_1,-0.792502695644395,0.239208637417652,0.00130933243432851,0.150120615500963,cancer
lung_cancer_a549_1,-0.193509279877069,0.153662151442909,-0.0780637248244447,0.488555372555964,cancer
breast_cancer_cal51_5,0.145195569310718,0.299171028813809,-0.461617761717801,-0.60352618121304,cancer
colon_cancer_sw620_4,-0.784101681205572,0.53467641378061,-0.997702369373566,-1.19131650650306,cancer
colon_cancer_sw620_5,-0.203542065875091,0.615146908270055,-0.970019133352593,-0.268401488993051,cancer
